,mid[100]
6010502501,91.9
6010502667,85.1
6010502497,83.8
6010502756,83.8
6010504708,83.8
6010502683,82.4
6010500389,79.7
6010502543,79.7
6010505704,79.7
6010500125,78.4
6010502535,78.4
6010502721,78.4
6010504741,78.4
6010504724,77.0
6010506204,77.0
6010502608,75.7
6010502675,75.7
6010502748,75.7
6010504767,75.7
6010500117,74.3
6010500401,74.3
6010502624,74.3
6010502527,71.6
6010502616,71.6
6010504651,71.6
6010504716,71.6
6010504821,70.3
5910505467,67.6
6010502578,66.2
6010502691,66.2
6010504686,66.2
6010504830,64.9
6010502713,63.5
6010504694,63.5
6010504660,61.5
6010500095,60.8
6010502659,60.8
6010505879,60.8
6010502641,59.5
6010504643,59.5
6010505666,59.5
6010502519,58.1
6010502560,58.1
6010502594,58.1
6010500397,56.8
5910501992,55.4
6010500109,54.1
6010502489,54.1
6010504775,54.1
6010504732,52.7
6010504856,52.7
6010500133,51.4
5910503898,50.0
6010504678,48.6
6010504791,48.6
6010504848,47.3
6010502705,45.9
6010506140,44.6
6010500141,41.9
6010505828,32.4
Mean,65.8
